date,day,status,importance,inventory,salaries,upi,cash,card,foodappsettlement,others
2021-10-01,Friday,na,na,"[{""item"": ""Oil"", ""qty"": 1, ""cost"": 1300.0}, {""item"": ""Eggs"", ""qty"": 1, ""cost"": 390.0}, {""item"": ""Vegetables"", ""qty"": 1, ""cost"": 330.0}, {""item"": ""Water"", ""qty"": 1, ""cost"": 130.0}, {""item"": ""grocories"", ""qty"": 1, ""cost"": 70.0}, {""item"": ""soya_Sauce"", ""qty"": 1, ""cost"": 20.0}]","[{""name"": ""naresh"", ""salary"": 600.0}]",570.0,1780.0,0,0.0,0
2021-10-02,Saturday,na,na,"[{""item"": ""Vegetables"", ""qty"": 1, ""cost"": 190.0}, {""item"": ""Water"", ""qty"": 1, ""cost"": 50.0}, {""item"": ""soya_Sauce"", ""qty"": 1, ""cost"": 40.0}, {""item"": ""other_expenses"", ""qty"": 1, ""cost"": 600.0}]","[{""name"": ""naresh"", ""salary"": 600.0}]",110.0,3420.0,0,0.0,0
2021-10-03,Sunday,holiday,na,[],[],0.0,0.0,0,0.0,0
2021-10-04,Monday,na,na,"[{""item"": ""Oil"", ""qty"": 1, ""cost"": 650.0}, {""item"": ""Eggs"", ""qty"": 1, ""cost"": 150.0}, {""item"": ""Vegetables"", ""qty"": 1, ""cost"": 590.0}, {""item"": ""Water"", ""qty"": 1, ""cost"": 100.0}, {""item"": ""soya_Sauce"", ""qty"": 1, ""cost"": 40.0}]","[{""name"": ""naresh"", ""salary"": 600.0}]",290.0,2520.0,0,0.0,0
2021-10-05,Tuesday,na,na,"[{""item"": ""Oil"", ""qty"": 1, ""cost"": 264.0}, {""item"": ""Eggs"", ""qty"": 1, ""cost"": 40.0}, {""item"": ""Vegetables"", ""qty"": 1, ""cost"": 320.0}, {""item"": ""Water"", ""qty"": 1, ""cost"": 20.0}, {""item"": ""soya_Sauce"", ""qty"": 1, ""cost"": 20.0}]","[{""name"": ""naresh"", ""salary"": 600.0}]",340.0,2900.0,0,0.0,0
2021-10-06,Wednesday,holiday,na,[],[],0.0,0.0,0,0.0,0
2021-10-07,Thursday,na,na,"[{""item"": ""Oil"", ""qty"": 1, ""cost"": 540.0}, {""item"": ""Eggs"", ""qty"": 1, ""cost"": 150.0}, {""item"": ""Noodles"", ""qty"": 1, ""cost"": 50.0}, {""item"": ""Vegetables"", ""qty"": 1, ""cost"": 240.0}, {""item"": ""Water"", ""qty"": 1, ""cost"": 110.0}, {""item"": ""soya_Sauce"", ""qty"": 1, ""cost"": 40.0}, {""item"": ""other_expenses"", ""qty"": 1, ""cost"": 146.0}]","[{""name"": ""naresh"", ""salary"": 600.0}]",410.0,2800.0,0,0.0,0
2021-10-08,Friday,na,na,"[{""item"": ""Oil"", ""qty"": 1, ""cost"": 540.0}, {""item"": ""Eggs"", ""qty"": 1, ""cost"": 300.0}, {""item"": ""Noodles"", ""qty"": 1, ""cost"": 280.0}, {""item"": ""Vegetables"", ""qty"": 1, ""cost"": 440.0}, {""item"": ""Water"", ""qty"": 1, ""cost"": 20.0}, {""item"": ""grocories"", ""qty"": 1, ""cost"": 70.0}, {""item"": ""soya_Sauce"", ""qty"": 1, ""cost"": 40.0}]","[{""name"": ""naresh"", ""salary"": 600.0}]",340.0,2300.0,0,0.0,0
2021-10-09,Saturday,na,na,"[{""item"": ""Rice_Bag"", ""qty"": 1, ""cost"": 900.0}, {""item"": ""Oil"", ""qty"": 1, ""cost"": 414.0}, {""item"": ""Noodles"", ""qty"": 1, ""cost"": 200.0}, {""item"": ""Water"", ""qty"": 1, ""cost"": 110.0}, {""item"": ""soya_Sauce"", ""qty"": 1, ""cost"": 30.0}]","[{""name"": ""naresh"", ""salary"": 600.0}]",470.0,2790.0,0,0.0,0
2021-10-10,Sunday,holiday,na,[],[],0.0,0.0,0,0.0,0
2024-05-12,Sunday,holiday,na,[],[],0.0,0.0,0,0.0,0
2024-05-13,Monday,holiday,na,[],[],0.0,0.0,0,0.0,0
2024-05-14,Tuesday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 3250.0}]","[{""name"": ""naresh"", ""salary"": 0.0}]",3200.0,5050.0,0,0.0,0
2024-05-15,Wednesday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 3000.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",2000.0,5620.0,0,0.0,0
2024-05-16,Thursday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 4530.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",2310.0,5670.0,0,0.0,0
2024-05-17,Friday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 7220.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",2570.0,6450.0,0,0.0,0
2024-05-18,Saturday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 4760.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",3120.0,5940.0,0,0.0,0
2024-05-19,Sunday,holiday,na,[],[],0.0,0.0,0,0.0,0
2024-05-20,Monday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 3540.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",2440.0,4700.0,0,0.0,0
2024-05-21,Tuesday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 4650.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",2000.0,4100.0,0,0.0,0
2024-05-22,Wednesday,holiday,na,[],[],0.0,0.0,0,0.0,0
2024-05-23,Thursday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 3370.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",1820.0,4000.0,0,0.0,0
2024-05-24,Friday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 4000.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",1810.0,3410.0,0,0.0,0
2024-05-25,Saturday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 3580.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",3750.0,6600.0,0,0.0,0
2024-05-26,Sunday,holiday,na,[],[],0.0,0.0,0,0.0,0
2024-05-27,Monday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 3920.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",3140.0,4870.0,0,0.0,0
2024-05-28,Tuesday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 4780.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",2670.0,4600.0,0,0.0,0
2024-05-29,Wednesday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 3450.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",2450.0,4550.0,0,0.0,0
2024-05-30,Thursday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 3830.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",2230.0,5200.0,0,0.0,0
2024-05-31,Friday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 4140.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",2300.0,4170.0,0,0.0,0
2024-06-01,Saturday,na,na,"[{""item"": ""other_expenses"", ""qty"": 1, ""cost"": 3250.0}]","[{""name"": ""naresh"", ""salary"": 700.0}]",2090.0,5400.0,0,0.0,0
2024-06-02,Sunday,na,na,[],"[{""name"": ""naresh"", ""salary"": 700.0}]",0.0,0.0,0,0.0,0
2024-06-03,Monday,na,na,[],"[{""name"": ""naresh"", ""salary"": 700.0}]",0.0,0.0,0,0.0,0
2024-06-04,Tuesday,na,na,[],"[{""name"": ""naresh"", ""salary"": 700.0}]",0.0,0.0,0,0.0,0
